Franklin Quarry,"255 Materials Drive,  Franklinton, NC, 27525",
Fuquay Quarry,"7400 Buckhorn-Duncan Road,  Holly Springs, NC, 27540",
Garner Quarry,"1111 East Old Garner Road,  Garner, NC, 27529",
Lemon Springs Quarry,"1227 Willet Road,  Sanford, NC, 27330",
Onslow Quarry,"131 Duffy Field Road,  Richlands, NC, 28574",
Raleigh-Durham Quarry,"6028 Triangle Drive,  Raleigh, NC, 27612",
Rocky Point Quarry,"1635 Martin Marietta Access Road,  Rocky Point, NC, 28457",
Wilmington Sand,"211 Sutton Stream Plant Road,  Wilmington, NC, 28401",
Wilson Quarry,"4063 Old Black Creek Road,  Wilson, NC, 27898",
Madison Quarry,"3807 US Highway 25/70 By-Pass,  Marshall, NC, 28753",
Hewitt Quarry,"4648 Potato Creek Road,  Mouth of Wilson, VA, 24363",
Shelter Creek Quarry,"720 Hewitts Road,  Topton, NC, 28781",
Mill Spring Quarry,"12121 NC Hwy 53 East,  Maple Hill, NC, 28454",
Miller Creek Quarry,"1322 Toney Road,  Mill Spring, NC, 28756",
115 Quarry,"975 Miller Road,  Rutherfordton, NC, 28139",
Boone Quarry,"776 Quarry Road,  North Wilkesboro, NC, 28659",
Cabarrus Quarry,"3869 Highway 105 South,  Boone, NC, 28607",
Clear Creek Quarry,"7680 Poplar Tent Road,  Concord, NC, 28027",
East Forsyth Quarry,"11435 Brooks Mill Road,  Charlotte, NC, 28227",
Elkin Quarry,"2874 Highway 66 South,  Kernersville, NC, 27284",
Enka Quarry,"12362 NC 268,  Elkin, NC, 28621",
Gold Hill Quarry,"1190 Smokey Park Hwy,  Enka, NC, 28728",
Greystone Quarry,"16745 Old Beatty Ford Road,  Gold Hill, NC, 28071",
Hendersonville Quarry,"696 Greystone Road,  Henderson, NC, 27536",
Lenoir Quarry,"2284 Clear Creek Road,  Hendersonville, NC, 28792",
Morganton Quarry,"2008 Wilkesboro Road,  Lenoir, NC, 28645",
North Quarry,"200 Causby Quarry Road,  Morganton, NC, 28655",
Penrose Quarry,"4401 N. Patterson Avenue,  Winston-Salem, NC, 27105",
Pineville Quarry,"3517 Hendersonville Highway,  Pisgah Forest, NC, 28768",
Rockingham Quarry,"10526 Old Nations Ford Road,  Charlotte, NC, 28273",
Smith Grove Quarry,"353 Galestown Road,  Rockingham, NC, 28379",
Spruce Pine Quarry,"1459 Quarry Road / Route 650,  Skippers, VA, 23879",
Stokesdale Quarry,"123 Vulcan Trail,  Mocksville, NC, 27028",
Louisburg Quarry,"396 Granite Lane,  Bakersville, NC, 28705",
Knightdale Quarry,"6826 Highway 158,  Stokesdale, NC, 27357",
Moncure Quarry,"934 E River Road,  Louisburg, NC, 27549",
Nash County Quarry,"6821 Knightdale Boulevard,  Knightdale, NC, 27545",
North Myrtle Beach Quarry,"9725 Stone Quarry Road,  Moncure, NC, 27559",
Triangle Quarry,"7379 N. Halifax Road,  Battleboro, NC, 27809",
Low Gap Quarry,"3990 Highway 9 Business East,  Loris, SC, 29569",
